id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license,,,,,,
25835772,Charm in C - Porto Center Apartment,194120215,Cátia E Hélvio,PORTO,Bonfim,41.1502532958984,-8.59506797790527,Entire home/apt,63,2,7,2023-08-27,0.09,2,328,72334/AL,,,,,,
25843328,Casa do Campo - Country house,194175960,Filomena,PAREDES,Aguiar de Sousa,41.09629,-8.42987,Entire home/apt,74,1,87,2024-10-12,1.12,1,362,Exempt,,,,,,
27275386,"Quarto II / Room II
Casa do Livro 
Boavista",22208825,Bruno,PORTO,Ramalde,41.16344,-8.63474,Private room,46,2,61,2024-09-07,0.8,5,224,80811/AL,,,,,,
27280621,2 quartos com acesso a uma casa de banho-Boavista,22208825,Bruno,PORTO,Ramalde,41.16258,-8.63576,Private room,110,2,4,2023-12-10,0.14,5,319,80811/AL,,,,,,
27690546,Oporto Lovely House - Standard,209011564,Elisabete,PORTO,Campanhã,41.15441,-8.58754,Entire home/apt,69,3,9,2024-06-28,0.12,4,171,75211/AL,,,,,,
34074060,Porto Boutique Avenue,120835470,Francisca,PORTO,Ramalde,41.16128,-8.64368,Entire home/apt,42,2,59,2024-10-20,0.86,3,360,93467/AL,,,,,,
35485052,Home Made Guest Studios - 1º Trás,16211101,Maria,PORTO,Bonfim,41.14512,-8.59327,Entire home/apt,68,1,0,,,11,0,100598/AL,,,,,,
241574,apartment downtown 1 terrace,1266562,Lovely,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14637,-8.60272,Entire home/apt,65,2,346,2023-06-30,2.17,17,312,6762/AL,,,,,,
241743,tranquility in downtown Porto,1266562,Lovely,PORTO,Bonfim,41.14661,-8.60188,Entire home/apt,65,2,162,2024-08-22,1.03,17,327,7233/AL,,,,,,
248537,Carregal Apartment,1302034,Maria De Lurdes,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14738,-8.61876,Entire home/apt,65,3,365,2024-12-09,2.32,1,330,5400/AL,,,,,,
264087,Historical City Center Apartment,1385493,Salomé,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15059,-8.622,Entire home/apt,61,3,408,2024-12-04,2.6,2,55,5488/AL,,,,,,
265819,Porto Center Apartement - Beach 2 KM,506925,Amália,PORTO,Ramalde,41.16201,-8.63315,Entire home/apt,99,2,116,2024-09-22,0.75,1,357,87222/AL,,,,,,
266970,The peacefulness of the countryside near Oporto,1399935,Teresa E Pedro / Teresa Und Pedro,VILA NOVA DE GAIA,Avintes,41.11945,-8.54857,Entire home/apt,85,7,41,2024-08-23,0.3,2,319,,,,,,,
270094,PortoFLAT Self contained studioflat,1377045,Chris,PORTO,Ramalde,41.1608,-8.63532,Entire home/apt,55,3,81,2024-11-02,0.53,1,114,60563/AL,,,,,,
270965,Central Apartment in Porto,1418251,Júlia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15641,-8.60973,Entire home/apt,52,3,171,2024-10-14,1.12,1,365,7349/AL,,,,,,
273345,charming apartment in downtown Porto 3,1266562,Lovely,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14664,-8.60389,Entire home/apt,71,2,284,2024-05-01,1.86,17,330,6760/AL,,,,,,
278886,charming apartment in downtown Porto 2,1266562,Lovely,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14488,-8.60228,Entire home/apt,71,2,291,2023-11-19,2.18,17,329,6764/AL,,,,,,
